dashboard_id,category,sheet_name,mark_type,status,rule_id,severity,problem,fix,field_name,aggregation,field_type,shelf,annotator_label,notes
education/Data-Driven Insight for Global Education Access and EdTech Expansion,education,Enrollment vs Out-of-School,circle,Clean,,,,,,,,,,
education/Data-Driven Insight for Global Education Access and EdTech Expansion,education,Outlier Analysis,circle,Clean,,,,,,,,,,
education/Data-Driven Insight for Global Education Access and EdTech Expansion,education,Trend Out-of-School Over Time,line,Clean,,,,,,,,,,
education/Department of Education - Visuals,education,Bottom 3 Universities by Graduation Rate,bar,Clean,,,,,,,,,,
education/Department of Education - Visuals,education,Bottom 5 States by Graduation Rate,bar,Clean,,,,,,,,,,
education/Department of Education - Visuals,education,Relationship Between Federal Grant Aid and Graduation Rate,circle,Clean,,,,,,,,,,
education/Department of Education - Visuals,education,Top 3 Universities by Graduation Rate,bar,Clean,,,,,,,,,,
education/Department of Education - Visuals,education,Top 5 States by Graduation Rate,bar,Clean,,,,,,,,,,
education/Department of Education - Visuals,education,public vs private,bar,Clean,,,,,,,,,,
education/Department of Education Graduation Analysis (1),education,Bubble Map,circle,Clean,,,,,,,,,,
education/Department of Education Graduation Analysis (2),education,Enrollment Size vs Grad Rate,bar,Clean,,,,,,,,,,
education/Department of Education Graduation Analysis (2),education,Financial Aid Breakdown,bar,Clean,,,,,,,,,,
education/Department of Education Graduation Analysis (2),education,Institutional Profile,circle,Clean,,,,,,,,,,
education/Department of Education Graduation Analysis (2),education,Selectivity vs Grad Rate,circle,Clean,,,,,,,,,,
education/Department of Education Graduation Analysis (3),education,Box & Whisker,circle,Clean,,,,,,,,,,
education/Department of Education Graduation Analysis (3),education,ScatterPlot,circle,Flagged,M9_sum_on_ratio_field,WARNING,SUM is applied to 'Percent of freshmen receiving Pell grants' which appears to be a ratio or percentage field. Summing ratios does not produce a meaningful result.,Use AVG instead of SUM for ratio and percentage fields.,Percent of freshmen receiving Pell grants,sum,quantitative,cols,,
education/Department of Education Graduation Analysis (3),education,Urbanization  Circles,circle,Clean,,,,,,,,,,
education/Department of Education Graduation Analysis,education,Bar graph % by graduation rate top 10 schools,bar,Clean,,,,,,,,,,
education/Department of Education Graduation Analysis,education,Graduation Rates by Urbanization Type,bar,Clean,,,,,,,,,,
education/Department of Education Graduation Analysis,education,Metric Switcher ,bar,Clean,,,,,,,,,,
education/Department of Education Graduation Analysis,education,Pie ,pie,Clean,,,,,,,,,,
education/Department of Education Graduation Analysis,education,Top 25 Universities by Enrollment,circle,Clean,,,,,,,,,,
education/Education & Fertility Rate - A Global View,education,Trend Over Time,line,Clean,,,,,,,,,,
education/Education - Team 5,education,Sheet 4,pie,Clean,,,,,,,,,,
education/Education by Team 5,education,Sheet 2,pie,Clean,,,,,,,,,,
education/Education by Team 5,education,Sheet 5,circle,Clean,,,,,,,,,,
education/Education Gender Parity Dashboard,education,GDP vs GPI,circle,Clean,,,,,,,,,,
education/Education Gender Parity Dashboard,education,GPI Trend,line,Clean,,,,,,,,,,
education/Education Gender Parity Dashboard,education,GPI by Income Group,bar,Clean,,,,,,,,,,
education/Education,education,Grants vs Loans: School Size,bar,Clean,,,,,,,,,,
education/Finals-Is College Education Worth It in 2026_,education, Q4: Career Disruption Risk,square,Clean,,,,,,,,,,
education/Finals-Is College Education Worth It in 2026_,education,Prep vs Wage,circle,Clean,,,,,,,,,,
education/Finals-Is College Education Worth It in 2026_,education,Q1: Payoff & Risk,bar,Clean,,,,,,,,,,
education/Finals-Is College Education Worth It in 2026_,education,Q2b: T20 State Price,square,Clean,,,,,,,,,,
education/Finals-Is College Education Worth It in 2026_,education,Q2c: B20 State Price,square,Clean,,,,,,,,,,
education/Finals-Is College Education Worth It in 2026_,education,Q3: Labor Market Resilience,circle,Clean,,,,,,,,,,
education/Finals-Is College Education Worth It in 2026_,education,Q4: Wage vs Unemployment,circle,Clean,,,,,,,,,,
education/Finals-Is College Education Worth It in 2026_,education,Q6: Belonging & Teamwork by Pathway,circle,Clean,,,,,,,,,,
"education/Girls, School & Equality_ Does Education Drive Gender Equality_",education,Enrollment vs Equality,circle,Clean,,,,,,,,,,
